Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
-2.2000    -1.6210   -0.5790       00100   005        1          0000000004   0.60  0.80  0.50
-2.4000    -1.5359   -0.8641       00100   005        1          0000000004   0.70  0.80  0.50
-2.6000    -2.4623   -0.1377       00100   005        1          0000000004   0.80  0.80  0.50
-2.8000    -1.6862   -1.1138       00100   005        1          0000000004   0.90  0.80  0.50
-3.0000    -2.1839   -0.8161       00100   005        1          0000000004   1.00  0.80  0.50
-1.0000    -1.0000    0.0000       00100   005        1          0000000004   0.00  0.90  0.50
-1.2000    -1.0996   -0.1004       00100   005        1          0000000004   0.10  0.90  0.50
-1.4000    -1.3229   -0.0771       00100   005        1          0000000004   0.20  0.90  0.50
-1.6000    -1.5880   -0.0120       00100   005        1          0000000004   0.30  0.90  0.50
-1.8000    -1.6629   -0.1371       00100   005        1          0000000004   0.40  0.90  0.50
-2.0000    -1.9855   -0.0145       00100   005        1          0000000004   0.50  0.90  0.50
-2.2000    -1.9917   -0.2083       00100   005        1          0000000004   0.60  0.90  0.50
-2.4000    -1.8511   -0.5489       00100   005        1          0000000004   0.70  0.90  0.50
-2.6000    -2.5658   -0.0342       00100   005        1          0000000004   0.80  0.90  0.50
-2.8000    -2.7646   -0.0354       00100   005        1          0000000004   0.90  0.90  0.50
-3.0000    -2.8367   -0.1633       00100   005        1          0000000004   1.00  0.90  0.50
-1.0000    -1.0000    0.0000       00100   005        1          0000000004   0.00  1.00  0.50
-1.2000    -1.1801   -0.0199       00100   005        1          0000000004   0.10  1.00  0.50
-1.4000    -1.1927   -0.2073       00100   005        1          0000000004   0.20  1.00  0.50
-1.6000    -1.3550   -0.2450       00100   005        1          0000000004   0.30  1.00  0.50
-1.8000    -1.7821   -0.0179       00100   005        1          0000000004   0.40  1.00  0.50
-2.0000    -1.9803   -0.0197       00100   005        1          0000000004   0.50  1.00  0.50
-2.2000    -2.1538   -0.0462       00100   005        1          0000000004   0.60  1.00  0.50
-2.4000    -2.1664   -0.2336       00100   005        1          0000000004   0.70  1.00  0.50
-2.6000    -2.4632   -0.1368       00100   005        1          0000000004   0.80  1.00  0.50
-2.8000    -2.7499   -0.0501       00100   005        1          0000000004   0.90  1.00  0.50
-3.0000    -2.4134   -0.5866       00100   005        1          0000000004   1.00  1.00  0.50
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.00  0.60
-1.4000    -1.3785   -0.0215       00100   005        1          0000000004   0.10  0.00  0.60
-1.6000    -1.5844   -0.0156       00100   005        1          0000000004   0.20  0.00  0.60
-1.8000    -1.7818   -0.0182       00100   005        1          0000000004   0.30  0.00  0.60
-2.0000    -1.8750   -0.1250       00100   005        1          0000000004   0.40  0.00  0.60
-2.2000    -2.0680   -0.1320       00100   005        1          0000000004   0.50  0.00  0.60
-2.4000    -2.2427   -0.1573       00100   005        1          0000000004   0.60  0.00  0.60
-2.6000    -2.5420   -0.0580       00100   005        1          0000000004   0.70  0.00  0.60
-2.8000    -2.6119   -0.1881       00100   005        1          0000000004   0.80  0.00  0.60
-3.0000    -2.6303   -0.3697       00100   005        1          0000000004   0.90  0.00  0.60
-3.2000    -2.8618   -0.3382       00100   005        1          0000000004   1.00  0.00  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.10  0.60
-1.4000    -1.3056   -0.0944       00100   005        1          0000000004   0.10  0.10  0.60
-1.6000    -1.5675   -0.0325       00100   005        1          0000000004   0.20  0.10  0.60
-1.8000    -1.6434   -0.1566       00100   005        1          0000000004   0.30  0.10  0.60
-2.0000    -1.8949   -0.1051       00100   005        1          0000000004   0.40  0.10  0.60
-2.2000    -2.1297   -0.0703       00100   005        1          0000000004   0.50  0.10  0.60
-2.4000    -2.0215   -0.3785       00100   005        1          0000000004   0.60  0.10  0.60
-2.6000    -1.8867   -0.7133       00100   005        1          0000000004   0.70  0.10  0.60
-2.8000    -2.7861   -0.0139       00100   005        1          0000000004   0.80  0.10  0.60
-3.0000    -2.8327   -0.1673       00100   005        1          0000000004   0.90  0.10  0.60
-3.2000    -2.2035   -0.9965       00100   005        1          0000000004   1.00  0.10  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.20  0.60
-1.4000    -1.3774   -0.0226       00100   005        1          0000000004   0.10  0.20  0.60
-1.6000    -1.4794   -0.1206       00100   005        1          0000000004   0.20  0.20  0.60
-1.8000    -1.7645   -0.0355       00100   005        1          0000000004   0.30  0.20  0.60
-2.0000    -1.6763   -0.3237       00100   005        1          0000000004   0.40  0.20  0.60
-2.2000    -2.1619   -0.0381       00100   005        1          0000000004   0.50  0.20  0.60
-2.4000    -2.3465   -0.0535       00100   005        1          0000000004   0.60  0.20  0.60
-2.6000    -2.5625   -0.0375       00100   005        1          0000000004   0.70  0.20  0.60
-2.8000    -2.4170   -0.3830       00100   005        1          0000000004   0.80  0.20  0.60
-3.0000    -2.2988   -0.7012       00100   005        1          0000000004   0.90  0.20  0.60
-3.2000    -2.2706   -0.9294       00100   005        1          0000000004   1.00  0.20  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.30  0.60
-1.4000    -1.3692   -0.0308       00100   005        1          0000000004   0.10  0.30  0.60
-1.6000    -1.5839   -0.0161       00100   005        1          0000000004   0.20  0.30  0.60
-1.8000    -1.6755   -0.1245       00100   005        1          0000000004   0.30  0.30  0.60
-2.0000    -1.9391   -0.0609       00100   005        1          0000000004   0.40  0.30  0.60
-2.2000    -2.1901   -0.0099       00100   005        1          0000000004   0.50  0.30  0.60
-2.4000    -2.0626   -0.3374       00100   005        1          0000000004   0.60  0.30  0.60
-2.6000    -2.5904   -0.0096       00100   005        1          0000000004   0.70  0.30  0.60
-2.8000    -1.9917   -0.8083       00100   005        1          0000000004   0.80  0.30  0.60
-3.0000    -2.9287   -0.0713       00100   005        1          0000000004   0.90  0.30  0.60
-3.2000    -3.1363   -0.0637       00100   005        1          0000000004   1.00  0.30  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.40  0.60
-1.4000    -1.3850   -0.0150       00100   005        1          0000000004   0.10  0.40  0.60
-1.6000    -1.5549   -0.0451       00100   005        1          0000000004   0.20  0.40  0.60
-1.8000    -1.6427   -0.1573       00100   005        1          0000000004   0.30  0.40  0.60
-2.0000    -1.8285   -0.1715       00100   005        1          0000000004   0.40  0.40  0.60
-2.2000    -1.7340   -0.4660       00100   005        1          0000000004   0.50  0.40  0.60
-2.4000    -2.1602   -0.2398       00100   005        1          0000000004   0.60  0.40  0.60
-2.6000    -2.3048   -0.2952       00100   005        1          0000000004   0.70  0.40  0.60
-2.8000    -2.6930   -0.1070       00100   005        1          0000000004   0.80  0.40  0.60
-3.0000    -2.8409   -0.1591       00100   005        1          0000000004   0.90  0.40  0.60
-3.2000    -2.4338   -0.7662       00100   005        1          0000000004   1.00  0.40  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.50  0.60
-1.4000    -1.3838   -0.0162       00100   005        1          0000000004   0.10  0.50  0.60
-1.6000    -1.5731   -0.0269       00100   005        1          0000000004   0.20  0.50  0.60
-1.8000    -1.5376   -0.2624       00100   005        1          0000000004   0.30  0.50  0.60
-2.0000    -1.9121   -0.0879       00100   005        1          0000000004   0.40  0.50  0.60
-2.2000    -1.3361   -0.8639       00100   005        1          0000000004   0.50  0.50  0.60
-2.4000    -2.3053   -0.0947       00100   005        1          0000000004   0.60  0.50  0.60
-2.6000    -2.5549   -0.0451       00100   005        1          0000000004   0.70  0.50  0.60
-2.8000    -2.1425   -0.6575       00100   005        1          0000000004   0.80  0.50  0.60
-3.0000    -2.8132   -0.1868       00100   005        1          0000000004   0.90  0.50  0.60
-3.2000    -3.0875   -0.1125       00100   005        1          0000000004   1.00  0.50  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.60  0.60
-1.4000    -1.3989   -0.0011       00100   005        1          0000000004   0.10  0.60  0.60
-1.6000    -1.5963   -0.0037       00100   005        1          0000000004   0.20  0.60  0.60
-1.8000    -1.7795   -0.0205       00100   005        1          0000000004   0.30  0.60  0.60
-2.0000    -1.9871   -0.0129       00100   005        1          0000000004   0.40  0.60  0.60
-2.2000    -2.1760   -0.0240       00100   005        1          0000000004   0.50  0.60  0.60
-2.4000    -2.2260   -0.1740       00100   005        1          0000000004   0.60  0.60  0.60
-2.6000    -2.5219   -0.0781       00100   005        1          0000000004   0.70  0.60  0.60
-2.8000    -2.7843   -0.0157       00100   005        1          0000000004   0.80  0.60  0.60
-3.0000    -2.8143   -0.1857       00100   005        1          0000000004   0.90  0.60  0.60
-3.2000    -2.8656   -0.3344       00100   005        1          0000000004   1.00  0.60  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.70  0.60
-1.4000    -1.3952   -0.0048       00100   005        1          0000000004   0.10  0.70  0.60
-1.6000    -1.5938   -0.0062       00100   005        1          0000000004   0.20  0.70  0.60
-1.8000    -1.7751   -0.0249       00100   005        1          0000000004   0.30  0.70  0.60
-2.0000    -1.7932   -0.2068       00100   005        1          0000000004   0.40  0.70  0.60
-2.2000    -2.1654   -0.0346       00100   005        1          0000000004   0.50  0.70  0.60
-2.4000    -2.3173   -0.0827       00100   005        1          0000000004   0.60  0.70  0.60
-2.6000    -1.9871   -0.6129       00100   005        1          0000000004   0.70  0.70  0.60
-2.8000    -2.7345   -0.0655       00100   005        1          0000000004   0.80  0.70  0.60
-3.0000    -2.0918   -0.9082       00100   005        1          0000000004   0.90  0.70  0.60
-3.2000    -3.1673   -0.0327       00100   005        1          0000000004   1.00  0.70  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.80  0.60
-1.4000    -1.3745   -0.0255       00100   005        1          0000000004   0.10  0.80  0.60
-1.6000    -1.5560   -0.0440       00100   005        1          0000000004   0.20  0.80  0.60
-1.8000    -1.7526   -0.0474       00100   005        1          0000000004   0.30  0.80  0.60
-2.0000    -1.9157   -0.0843       00100   005        1          0000000004   0.40  0.80  0.60
-2.2000    -1.3787   -0.8213       00100   005        1          0000000004   0.50  0.80  0.60
-2.4000    -2.3655   -0.0345       00100   005        1          0000000004   0.60  0.80  0.60
-2.6000    -2.4808   -0.1192       00100   005        1          0000000004   0.70  0.80  0.60
-2.8000    -2.6053   -0.1947       00100   005        1          0000000004   0.80  0.80  0.60
-3.0000    -2.3891   -0.6109       00100   005        1          0000000004   0.90  0.80  0.60
-3.2000    -2.6905   -0.5095       00100   005        1          0000000004   1.00  0.80  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  0.90  0.60
-1.4000    -1.3901   -0.0099       00100   005        1          0000000004   0.10  0.90  0.60
-1.6000    -1.5959   -0.0041       00100   005        1          0000000004   0.20  0.90  0.60
-1.8000    -1.5706   -0.2294       00100   005        1          0000000004   0.30  0.90  0.60
-2.0000    -1.8005   -0.1995       00100   005        1          0000000004   0.40  0.90  0.60
-2.2000    -2.1029   -0.0971       00100   005        1          0000000004   0.50  0.90  0.60
-2.4000    -2.0532   -0.3468       00100   005        1          0000000004   0.60  0.90  0.60
-2.6000    -2.5252   -0.0748       00100   005        1          0000000004   0.70  0.90  0.60
-2.8000    -1.9853   -0.8147       00100   005        1          0000000004   0.80  0.90  0.60
-3.0000    -2.6077   -0.3923       00100   005        1          0000000004   0.90  0.90  0.60
-3.2000    -3.1011   -0.0989       00100   005        1          0000000004   1.00  0.90  0.60
-1.2000    -1.2000    0.0000       00100   005        1          0000000004   0.00  1.00  0.60
-1.4000    -1.3141   -0.0859       00100   005        1          0000000004   0.10  1.00  0.60
-1.6000    -1.5182   -0.0818       00100   005        1          0000000004   0.20  1.00  0.60
-1.8000    -1.7589   -0.0411       00100   005        1          0000000004   0.30  1.00  0.60
-2.0000    -1.9345   -0.0655       00100   005        1          0000000004   0.40  1.00  0.60
-2.2000    -1.9792   -0.2208       00100   005        1          0000000004   0.50  1.00  0.60
-2.4000    -2.3124   -0.0876       00100   005        1          0000000004   0.60  1.00  0.60
-2.6000    -2.1004   -0.4996       00100   005        1          0000000004   0.70  1.00  0.60
-2.8000    -2.1228   -0.6772       00100   005        1          0000000004   0.80  1.00  0.60
-3.0000    -2.6342   -0.3658       00100   005        1          0000000004   0.90  1.00  0.60
-3.2000    -3.0974   -0.1026       00100   005        1          0000000004   1.00  1.00  0.60
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.00  0.70
-1.6000    -1.5722   -0.0278       00100   005        1          0000000004   0.10  0.00  0.70
-1.8000    -1.7733   -0.0267       00100   005        1          0000000004   0.20  0.00  0.70
-2.0000    -1.9480   -0.0520       00100   005        1          0000000004   0.30  0.00  0.70
-2.2000    -1.9589   -0.2411       00100   005        1          0000000004   0.40  0.00  0.70
-2.4000    -2.3239   -0.0761       00100   005        1          0000000004   0.50  0.00  0.70
-2.6000    -2.4229   -0.1771       00100   005        1          0000000004   0.60  0.00  0.70
-2.8000    -2.6261   -0.1739       00100   005        1          0000000004   0.70  0.00  0.70
-3.0000    -2.2749   -0.7251       00100   005        1          0000000004   0.80  0.00  0.70
-3.2000    -2.9393   -0.2607       00100   005        1          0000000004   0.90  0.00  0.70
-3.4000    -2.5337   -0.8663       00100   005        1          0000000004   1.00  0.00  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.10  0.70
-1.6000    -1.4451   -0.1549       00100   005        1          0000000004   0.10  0.10  0.70
-1.8000    -1.7766   -0.0234       00100   005        1          0000000004   0.20  0.10  0.70
-2.0000    -1.9173   -0.0827       00100   005        1          0000000004   0.30  0.10  0.70
-2.2000    -2.1798   -0.0202       00100   005        1          0000000004   0.40  0.10  0.70
-2.4000    -2.1900   -0.2100       00100   005        1          0000000004   0.50  0.10  0.70
-2.6000    -1.9083   -0.6917       00100   005        1          0000000004   0.60  0.10  0.70
-2.8000    -2.7394   -0.0606       00100   005        1          0000000004   0.70  0.10  0.70
-3.0000    -2.7590   -0.2410       00100   005        1          0000000004   0.80  0.10  0.70
-3.2000    -2.9014   -0.2986       00100   005        1          0000000004   0.90  0.10  0.70
-3.4000    -3.1313   -0.2687       00100   005        1          0000000004   1.00  0.10  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.20  0.70
-1.6000    -1.5587   -0.0413       00100   005        1          0000000004   0.10  0.20  0.70
-1.8000    -1.6834   -0.1166       00100   005        1          0000000004   0.20  0.20  0.70
-2.0000    -1.7525   -0.2475       00100   005        1          0000000004   0.30  0.20  0.70
-2.2000    -2.1692   -0.0308       00100   005        1          0000000004   0.40  0.20  0.70
-2.4000    -2.2572   -0.1428       00100   005        1          0000000004   0.50  0.20  0.70
-2.6000    -2.3719   -0.2281       00100   005        1          0000000004   0.60  0.20  0.70
-2.8000    -2.7884   -0.0116       00100   005        1          0000000004   0.70  0.20  0.70
-3.0000    -1.5181   -1.4819       00100   005        1          0000000004   0.80  0.20  0.70
-3.2000    -2.5456   -0.6544       00100   005        1          0000000004   0.90  0.20  0.70
-3.4000    -3.3130   -0.0870       00100   005        1          0000000004   1.00  0.20  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.30  0.70
-1.6000    -1.5519   -0.0481       00100   005        1          0000000004   0.10  0.30  0.70
-1.8000    -1.7470   -0.0530       00100   005        1          0000000004   0.20  0.30  0.70
-2.0000    -1.9521   -0.0479       00100   005        1          0000000004   0.30  0.30  0.70
-2.2000    -2.1079   -0.0921       00100   005        1          0000000004   0.40  0.30  0.70
-2.4000    -2.2356   -0.1644       00100   005        1          0000000004   0.50  0.30  0.70
-2.6000    -2.4172   -0.1828       00100   005        1          0000000004   0.60  0.30  0.70
-2.8000    -2.5856   -0.2144       00100   005        1          0000000004   0.70  0.30  0.70
-3.0000    -2.9647   -0.0353       00100   005        1          0000000004   0.80  0.30  0.70
-3.2000    -2.8207   -0.3793       00100   005        1          0000000004   0.90  0.30  0.70
-3.4000    -2.8399   -0.5601       00100   005        1          0000000004   1.00  0.30  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.40  0.70
-1.6000    -1.5751   -0.0249       00100   005        1          0000000004   0.10  0.40  0.70
-1.8000    -1.7749   -0.0251       00100   005        1          0000000004   0.20  0.40  0.70
-2.0000    -1.8574   -0.1426       00100   005        1          0000000004   0.30  0.40  0.70
-2.2000    -2.1852   -0.0148       00100   005        1          0000000004   0.40  0.40  0.70
-2.4000    -2.2743   -0.1257       00100   005        1          0000000004   0.50  0.40  0.70
-2.6000    -2.5435   -0.0565       00100   005        1          0000000004   0.60  0.40  0.70
-2.8000    -2.4766   -0.3234       00100   005        1          0000000004   0.70  0.40  0.70
-3.0000    -1.8442   -1.1558       00100   005        1          0000000004   0.80  0.40  0.70
-3.2000    -3.1363   -0.0637       00100   005        1          0000000004   0.90  0.40  0.70
-3.4000    -3.2880   -0.1120       00100   005        1          0000000004   1.00  0.40  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.50  0.70
-1.6000    -1.5452   -0.0548       00100   005        1          0000000004   0.10  0.50  0.70
-1.8000    -1.7779   -0.0221       00100   005        1          0000000004   0.20  0.50  0.70
-2.0000    -1.9534   -0.0466       00100   005        1          0000000004   0.30  0.50  0.70
-2.2000    -2.1618   -0.0382       00100   005        1          0000000004   0.40  0.50  0.70
-2.4000    -2.2408   -0.1592       00100   005        1          0000000004   0.50  0.50  0.70
-2.6000    -2.5692   -0.0308       00100   005        1          0000000004   0.60  0.50  0.70
-2.8000    -2.6592   -0.1408       00100   005        1          0000000004   0.70  0.50  0.70
-3.0000    -2.9719   -0.0281       00100   005        1          0000000004   0.80  0.50  0.70
-3.2000    -3.0440   -0.1560       00100   005        1          0000000004   0.90  0.50  0.70
-3.4000    -2.1026   -1.2974       00100   005        1          0000000004   1.00  0.50  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.60  0.70
-1.6000    -1.5869   -0.0131       00100   005        1          0000000004   0.10  0.60  0.70
-1.8000    -1.7539   -0.0461       00100   005        1          0000000004   0.20  0.60  0.70
-2.0000    -1.9557   -0.0443       00100   005        1          0000000004   0.30  0.60  0.70
-2.2000    -2.1270   -0.0730       00100   005        1          0000000004   0.40  0.60  0.70
-2.4000    -2.1507   -0.2493       00100   005        1          0000000004   0.50  0.60  0.70
-2.6000    -2.5574   -0.0426       00100   005        1          0000000004   0.60  0.60  0.70
-2.8000    -2.6841   -0.1159       00100   005        1          0000000004   0.70  0.60  0.70
-3.0000    -2.6683   -0.3317       00100   005        1          0000000004   0.80  0.60  0.70
-3.2000    -2.9916   -0.2084       00100   005        1          0000000004   0.90  0.60  0.70
-3.4000    -2.5879   -0.8121       00100   005        1          0000000004   1.00  0.60  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.70  0.70
-1.6000    -1.5825   -0.0175       00100   005        1          0000000004   0.10  0.70  0.70
-1.8000    -1.7654   -0.0346       00100   005        1          0000000004   0.20  0.70  0.70
-2.0000    -1.9282   -0.0718       00100   005        1          0000000004   0.30  0.70  0.70
-2.2000    -2.0400   -0.1600       00100   005        1          0000000004   0.40  0.70  0.70
-2.4000    -2.2851   -0.1149       00100   005        1          0000000004   0.50  0.70  0.70
-2.6000    -2.4043   -0.1957       00100   005        1          0000000004   0.60  0.70  0.70
-2.8000    -2.6927   -0.1073       00100   005        1          0000000004   0.70  0.70  0.70
-3.0000    -2.7751   -0.2249       00100   005        1          0000000004   0.80  0.70  0.70
-3.2000    -3.1463   -0.0537       00100   005        1          0000000004   0.90  0.70  0.70
-3.4000    -3.2735   -0.1265       00100   005        1          0000000004   1.00  0.70  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.80  0.70
-1.6000    -1.5608   -0.0392       00100   005        1          0000000004   0.10  0.80  0.70
-1.8000    -1.6009   -0.1991       00100   005        1          0000000004   0.20  0.80  0.70
-2.0000    -1.9620   -0.0380       00100   005        1          0000000004   0.30  0.80  0.70
-2.2000    -1.9727   -0.2273       00100   005        1          0000000004   0.40  0.80  0.70
-2.4000    -2.3381   -0.0619       00100   005        1          0000000004   0.50  0.80  0.70
-2.6000    -2.5135   -0.0865       00100   005        1          0000000004   0.60  0.80  0.70
-2.8000    -2.2658   -0.5342       00100   005        1          0000000004   0.70  0.80  0.70
-3.0000    -2.8843   -0.1157       00100   005        1          0000000004   0.80  0.80  0.70
-3.2000    -3.1750   -0.0250       00100   005        1          0000000004   0.90  0.80  0.70
-3.4000    -3.0396   -0.3604       00100   005        1          0000000004   1.00  0.80  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  0.90  0.70
-1.6000    -1.5150   -0.0850       00100   005        1          0000000004   0.10  0.90  0.70
-1.8000    -1.5378   -0.2622       00100   005        1          0000000004   0.20  0.90  0.70
-2.0000    -1.9344   -0.0656       00100   005        1          0000000004   0.30  0.90  0.70
-2.2000    -2.1349   -0.0651       00100   005        1          0000000004   0.40  0.90  0.70
-2.4000    -2.1785   -0.2215       00100   005        1          0000000004   0.50  0.90  0.70
-2.6000    -2.2818   -0.3182       00100   005        1          0000000004   0.60  0.90  0.70
-2.8000    -2.6572   -0.1428       00100   005        1          0000000004   0.70  0.90  0.70
-3.0000    -2.7232   -0.2768       00100   005        1          0000000004   0.80  0.90  0.70
-3.2000    -3.0552   -0.1448       00100   005        1          0000000004   0.90  0.90  0.70
-3.4000    -3.3039   -0.0961       00100   005        1          0000000004   1.00  0.90  0.70
-1.4000    -1.4000    0.0000       00100   005        1          0000000004   0.00  1.00  0.70
-1.6000    -1.5765   -0.0235       00100   005        1          0000000004   0.10  1.00  0.70
-1.8000    -1.5980   -0.2020       00100   005        1          0000000004   0.20  1.00  0.70
-2.0000    -1.9866   -0.0134       00100   005        1          0000000004   0.30  1.00  0.70
-2.2000    -2.1226   -0.0774       00100   005        1          0000000004   0.40  1.00  0.70
-2.4000    -2.2546   -0.1454       00100   005        1          0000000004   0.50  1.00  0.70
-2.6000    -2.2546   -0.3454       00100   005        1          0000000004   0.60  1.00  0.70
-2.8000    -2.7435   -0.0565       00100   005        1          0000000004   0.70  1.00  0.70
-3.0000    -2.5047   -0.4953       00100   005        1          0000000004   0.80  1.00  0.70
-3.2000    -2.9773   -0.2227       00100   005        1          0000000004   0.90  1.00  0.70
-3.4000    -2.4279   -0.9721       00100   005        1          0000000004   1.00  1.00  0.70
-1.6000    -1.6000    0.0000       00100   005        1          0000000004   0.00  0.00  0.80
-1.8000    -1.7574   -0.0426       00100   005        1          0000000004   0.10  0.00  0.80
-2.0000    -1.8934   -0.1066       00100   005        1          0000000004   0.20  0.00  0.80
-2.2000    -2.1622   -0.0378       00100   005        1          0000000004   0.30  0.00  0.80
-2.4000    -2.3949   -0.0051       00100   005        1          0000000004   0.40  0.00  0.80
-2.6000    -2.4289   -0.1711       00100   005        1          0000000004   0.50  0.00  0.80
-2.8000    -2.7515   -0.0485       00100   005        1          0000000004   0.60  0.00  0.80
-3.0000    -2.6852   -0.3148       00100   005        1          0000000004   0.70  0.00  0.80
-3.2000    -2.8091   -0.3909       00100   005        1          0000000004   0.80  0.00  0.80
-3.4000    -2.7777   -0.6223       00100   005        1          0000000004   0.90  0.00  0.80
-3.6000    -3.2969   -0.3031       00100   005        1          0000000004   1.00  0.00  0.80
-1.6000    -1.6000    0.0000       00100   005        1          0000000004   0.00  0.10  0.80
-1.8000    -1.7859   -0.0141       00100   005        1          0000000004   0.10  0.10  0.80
-2.0000    -1.9503   -0.0497       00100   005        1          0000000004   0.20  0.10  0.80
-2.2000    -1.8236   -0.3764       00100   005        1          0000000004   0.30  0.10  0.80
-2.4000    -2.3497   -0.0503       00100   005        1          0000000004   0.40  0.10  0.80
-2.6000    -2.4061   -0.1939       00100   005        1          0000000004   0.50  0.10  0.80
-2.8000    -2.7438   -0.0562       00100   005        1          0000000004   0.60  0.10  0.80
-3.0000    -2.8808   -0.1192       00100   005        1          0000000004   0.70  0.10  0.80
-3.2000    -3.1876   -0.0124       00100   005        1          0000000004   0.80  0.10  0.80
-3.4000    -3.3776   -0.0224       00100   005        1          0000000004   0.90  0.10  0.80
-3.6000    -3.5656   -0.0344       00100   005        1          0000000004   1.00  0.10  0.80
-1.6000    -1.6000    0.0000       00100   005        1          0000000004   0.00  0.20  0.80
-1.8000    -1.7666   -0.0334       00100   005        1          0000000004   0.10  0.20  0.80
-2.0000    -1.9857   -0.0143       00100   005        1          0000000004   0.20  0.20  0.80
-2.2000    -2.1706   -0.0294       00100   005        1          0000000004   0.30  0.20  0.80
-2.4000    -2.3806   -0.0194       00100   005        1          0000000004   0.40  0.20  0.80
-2.6000    -2.5474   -0.0526       00100   005        1          0000000004   0.50  0.20  0.80
-2.8000    -2.2313   -0.5687       00100   005        1          0000000004   0.60  0.20  0.80
-3.0000    -2.7844   -0.2156       00100   005        1          0000000004   0.70  0.20  0.80
-3.2000    -3.1368   -0.0632       00100   005        1          0000000004   0.80  0.20  0.80
-3.4000    -2.9127   -0.4873       00100   005        1          0000000004   0.90  0.20  0.80
-3.6000    -2.0623   -1.5377       00100   005        1          0000000004   1.00  0.20  0.80
-1.6000    -1.6000    0.0000       00100   005        1          0000000004   0.00  0.30  0.80
-1.8000    -1.7745   -0.0255       00100   005        1          0000000004   0.10  0.30  0.80
-2.0000    -1.8671   -0.1329       00100   005        1          0000000004   0.20  0.30  0.80
-2.2000    -2.1697   -0.0303       00100   005        1          0000000004   0.30  0.30  0.80
-2.4000    -2.3634   -0.0366       00100   005        1          0000000004   0.40  0.30  0.80
-2.6000    -2.4598   -0.1402       00100   005        1          0000000004   0.50  0.30  0.80
-2.8000    -2.6577   -0.1423       00100   005        1          0000000004   0.60  0.30  0.80
-3.0000    -2.9512   -0.0488       00100   005        1          0000000004   0.70  0.30  0.80
-3.2000    -3.0185   -0.1815       00100   005        1          0000000004   0.80  0.30  0.80
-3.4000    -2.8146   -0.5854       00100   005        1          0000000004   0.90  0.30  0.80
-3.6000    -3.5706   -0.0294       00100   005        1          0000000004   1.00  0.30  0.80
-1.6000    -1.6000    0.0000       00100   005        1          0000000004   0.00  0.40  0.80
-1.8000    -1.7432   -0.0568       00100   005        1          0000000004   0.10  0.40  0.80
-2.0000    -1.9737   -0.0263       00100   005        1          0000000004   0.20  0.40  0.80
-2.2000    -2.1815   -0.0185       00100   005        1          0000000004   0.30  0.40  0.80
-2.4000    -2.3794   -0.0206       00100   005        1          0000000004   0.40  0.40  0.80
-2.6000    -1.8644   -0.7356       00100   005        1          0000000004   0.50  0.40  0.80
-2.8000    -2.6362   -0.1638       00100   005        1          0000000004   0.60  0.40  0.80
-3.0000    -2.9858   -0.0142       00100   005        1          0000000004   0.70  0.40  0.80
-3.2000    -3.1209   -0.0791       00100   005        1          0000000004   0.80  0.40  0.80
-3.4000    -3.3669   -0.0331       00100   005        1          0000000004   0.90  0.40  0.80
-3.6000    -3.0243   -0.5757       00100   005        1          0000000004   1.00  0.40  0.80
-1.6000    -1.6000    0.0000       00100   005        1          0000000004   0.00  0.50  0.80
-1.8000    -1.7954   -0.0046       00100   005        1          0000000004   0.10  0.50  0.80
-2.0000    -1.9886   -0.0114       00100   005        1          0000000004   0.20  0.50  0.80
-2.2000    -2.0541   -0.1459       00100   005        1          0000000004   0.30  0.50  0.80
-2.4000    -2.3819   -0.0181       00100   005        1          0000000004   0.40  0.50  0.80
-2.6000    -1.8330   -0.7670       00100   005        1          0000000004   0.50  0.50  0.80
-2.8000    -2.6919   -0.1081       00100   005        1          0000000004   0.60  0.50  0.80
-3.0000    -2.6156   -0.3844       00100   005        1          0000000004   0.70  0.50  0.80
-3.2000    -3.1683   -0.0317       00100   005        1          0000000004   0.80  0.50  0.80
