Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
-1.8000    -1.1402   -0.6598       00100   005        1          0000000004   0.90  0.60  0.00
-2.0000    -1.7233   -0.2767       00100   005        1          0000000004   1.00  0.60  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.70  0.00
-0.2000    -0.1795   -0.0205       00100   005        1          0000000004   0.10  0.70  0.00
-0.4000    -0.3961   -0.0039       00100   005        1          0000000004   0.20  0.70  0.00
-0.6000    -0.5137   -0.0863       00100   005        1          0000000004   0.30  0.70  0.00
-0.8000    -0.6578   -0.1422       00100   005        1          0000000004   0.40  0.70  0.00
-1.0000    -0.3624   -0.6376       00100   005        1          0000000004   0.50  0.70  0.00
-1.2000    -1.1713   -0.0287       00100   005        1          0000000004   0.60  0.70  0.00
-1.4000    -1.3435   -0.0565       00100   005        1          0000000004   0.70  0.70  0.00
-1.6000    -1.5563   -0.0437       00100   005        1          0000000004   0.80  0.70  0.00
-1.8000    -1.7545   -0.0455       00100   005        1          0000000004   0.90  0.70  0.00
-2.0000    -1.9861   -0.0139       00100   005        1          0000000004   1.00  0.70  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.80  0.00
-0.2000    -0.1782   -0.0218       00100   005        1          0000000004   0.10  0.80  0.00
-0.4000    -0.3891   -0.0109       00100   005        1          0000000004   0.20  0.80  0.00
-0.6000    -0.5771   -0.0229       00100   005        1          0000000004   0.30  0.80  0.00
-0.8000    -0.6378   -0.1622       00100   005        1          0000000004   0.40  0.80  0.00
-1.0000    -0.8891   -0.1109       00100   005        1          0000000004   0.50  0.80  0.00
-1.2000    -1.0534   -0.1466       00100   005        1          0000000004   0.60  0.80  0.00
-1.4000    -1.1908   -0.2092       00100   005        1          0000000004   0.70  0.80  0.00
-1.6000    -1.5750   -0.0250       00100   005        1          0000000004   0.80  0.80  0.00
-1.8000    -1.7535   -0.0465       00100   005        1          0000000004   0.90  0.80  0.00
-2.0000    -0.0518   -1.9482       00100   005        1          0000000004   1.00  0.80  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.90  0.00
-0.2000    -0.1837   -0.0163       00100   005        1          0000000004   0.10  0.90  0.00
-0.4000    -0.3209   -0.0791       00100   005        1          0000000004   0.20  0.90  0.00
-0.6000    -0.4243   -0.1757       00100   005        1          0000000004   0.30  0.90  0.00
-0.8000    -0.5448   -0.2552       00100   005        1          0000000004   0.40  0.90  0.00
-1.0000    -0.9574   -0.0426       00100   005        1          0000000004   0.50  0.90  0.00
-1.2000    -0.9661   -0.2339       00100   005        1          0000000004   0.60  0.90  0.00
-1.4000    -1.3634   -0.0366       00100   005        1          0000000004   0.70  0.90  0.00
-1.6000    -1.5150   -0.0850       00100   005        1          0000000004   0.80  0.90  0.00
-1.8000    -1.6907   -0.1093       00100   005        1          0000000004   0.90  0.90  0.00
-2.0000    -1.6863   -0.3137       00100   005        1          0000000004   1.00  0.90  0.00
